Age_group,Area,FamilyStatus,Education,Income,Religion,Gender,Frequency-YouTube,Frequency-Facebook,Frequency-TikTok,Frequency-Twitter,Frequency-Instagram,Frequency-LinkedIn,Frequency-WhatsApp,ID,B-YouTube,B-Facebook,B-TikTok,B-Twitter,B-Instagram,B-LinkedIn,B-WhatsApp,Age_group-num,Income-num,Frequency-Instagram-num,Frequency-Facebook-num,Frequency-Twitter-num,Frequency-YouTube-num
50-64,Tel Aviv,Married,Secondary,below Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,247,1,1,0,0,0,0,1,50,4246,0,29,0,31
40-49,Center,Single,Academic,Way below Average,Jewish - Orthodox,Male,Daily,Daily,Not Using,Less often,Not Using,Several times a month,Daily,248,1,1,0,1,0,1,1,45,1702,0,30,2,30
40-49,Jerusalem,Married,Academic,below Average,Jewish - Orthodox,Male,Several times a week,Less often,Not Using,Not Using,Not Using,Less often,Not Using,249,1,1,0,0,0,1,0,47,3947,0,4,0,18
25-30,Center,Married,Academic,Above Average,Jewish - Secular,Female,Several times a week,Daily,Not Using,Not Using,Daily,Daily,Daily,250,1,1,0,0,1,1,1,29,8831,29,29,0,27
50-64,Haifa,Married,Academic,Similar to Average,Jewish - Traditional,Male,Several times a week,Daily,Daily,Daily,Daily,Less often,Daily,251,1,1,1,1,1,1,1,53,6921,31,29,30,26
50-64,Yehoda and Shomron,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - National Religious,Female,Daily,Daily,Less often,Not Using,Daily,Not Using,Daily,252,1,1,1,0,1,0,1,51,2973,31,31,0,31
50-64,Center,Married,Secondary,Similar to Average,Jewish - Secular,Female,Daily,Several times a week,Less often,Not Using,Not Using,Not Using,Daily,253,1,1,1,0,0,0,1,55,5055,0,28,0,31
40-49,Center,Married,Secondary,Above Average,Jewish - National Religious,Female,Daily,Daily,Less often,Less often,Several times a week,Not Using,Daily,254,1,1,1,1,1,0,1,45,8800,26,30,4,31
25-30,North,Married,Secondary,Above Average,Jewish - Traditional,Female,Several times a week,Daily,Daily,Several times a month,Daily,Several times a month,Daily,255,1,1,1,1,1,1,1,27,8778,30,31,5,20
50-64,North,Married,"Post-secondary (Technician, Engineer, etc.)",Way Above Average,Jewish - Secular,Female,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,256,1,1,1,1,1,0,1,64,12482,29,29,31,30
40-49,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Female,Several times a week,Several times a week,Not Using,Not Using,Several times a month,Not Using,Daily,257,1,1,0,0,1,0,1,40,6902,9,14,0,12
25-30,Tel Aviv,Married,"Post-secondary (Technician, Engineer, etc.)",Way Above Average,Jewish - National Religious,Male,Daily,Not Using,Daily,Daily,Not Using,Not Using,Daily,258,1,0,1,1,0,0,1,25,17306,0,0,30,31
40-49,Center,Married,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Several times a month,Not Using,Daily,259,1,1,0,0,1,0,1,45,7135,5,30,0,30
31-39,Yehoda and Shomron,Married,Secondary,below Average,Jewish - Secular,Male,Daily,Several times a week,Not Using,Several times a week,Several times a month,Not Using,Daily,260,1,1,0,1,1,0,1,33,3055,6,11,20,29
40-49,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Female,Several times a week,Daily,Several times a month,Less often,Daily,Not Using,Daily,261,1,1,1,1,1,0,1,43,6824,30,31,4,27
50-64,Center,Married,Academic,Above Average,Jewish - Secular,Male,Daily,Daily,Daily,Several times a week,Several times a week,Daily,Daily,262,1,1,1,1,1,1,1,61,9202,12,31,26,31
40-49,Center,Single,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Less often,Less often,Not Using,Less often,263,1,1,0,1,1,0,1,43,5833,2,30,2,30
50-64,North,Married,Academic,Above Average,Jewish - Traditional,Female,Less often,Daily,Daily,Not Using,Daily,Not Using,Daily,264,1,1,1,0,1,0,1,52,8313,30,31,0,2
25-30,Yehoda and Shomron,Married,Academic,Way below Average,Muslim,Female,Daily,Several times a week,Several times a week,Several times a week,Daily,Less often,Several times a week,265,1,1,1,1,1,1,1,26,2807,31,25,12,29
65+,Center,Married,Academic,below Average,Jewish - Secular,Female,Several times a week,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,266,1,0,0,0,0,0,1,67,4859,0,0,0,27
65+,Tel Aviv,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Female,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,267,1,0,0,0,0,0,1,79,7008,0,0,0,31
50-64,Haifa,Married,Academic,Similar to Average,Jewish - Orthodox,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,268,1,1,0,0,1,0,1,52,7007,29,30,0,29
40-49,Jerusalem,Divorced/Separated/Widowed/Single Parent,Secondary,Way below Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,269,1,1,0,0,0,0,1,43,2491,0,31,0,31
25-30,Tel Aviv,Married,Academic,Similar to Average,Jewish - Secular,Female,Several times a week,Several times a week,Several times a month,Several times a month,Several times a month,Several times a week,Daily,270,1,1,1,1,1,1,1,28,6791,5,25,6,15
31-39,Center,Married,Academic,Similar to Average,Jewish - Secular,Male,Several times a week,Daily,Less often,Not Using,Not Using,Not Using,Daily,271,1,1,1,0,0,0,1,39,5328,0,31,0,16
65+,Tel Aviv,Married,Secondary,below Average,Jewish - National Religious,Female,Daily,Daily,Less often,Less often,Less often,Not Using,Daily,272,1,1,1,1,1,0,1,65,4078,1,29,2,29
40-49,Center,Married,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Less often,Not Using,Not Using,Not Using,Not Using,Daily,273,1,1,0,0,0,0,1,47,7809,0,2,0,29
65+,Haifa,Married,Academic,Similar to Average,Jewish - Secular,Female,Less often,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,274,1,1,0,0,0,0,0,80,7627,0,30,0,3
40-49,Haifa,Single,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Secular,Male,Daily,Daily,Not Using,Several times a week,Daily,Not Using,Daily,275,1,1,0,1,1,0,1,46,1288,29,30,23,29
50-64,Haifa,Single,Secondary,Way below Average,Jewish - Secular,Female,Several times a month,Daily,Daily,Daily,Daily,Not Using,Daily,276,1,1,1,1,1,0,1,51,2144,29,29,31,7
65+,South,Married,Academic,Way below Average,Jewish - Traditional,Male,Several times a week,Several times a week,Not Using,Less often,Not Using,Not Using,Daily,277,1,1,0,1,0,0,1,72,1112,0,15,3,14
40-49,Tel Aviv,Married,Secondary,Above Average,Jewish - National Religious,Male,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,278,1,1,0,0,0,0,1,40,9312,0,30,0,29
25-30,Tel Aviv,Married,Academic,Above Average,Jewish - Secular,Male,Several times a week,Daily,Not Using,Not Using,Several times a month,Not Using,Daily,279,1,1,0,0,1,0,1,27,10862,5,29,0,19
31-39,Center,Single,Secondary,Other Responses,Jewish - Orthodox,Female,Daily,Less often,Not Using,Not Using,Several times a month,Less often,Not Using,280,1,1,0,0,1,1,0,39,0,9,2,0,31
50-64,North,Single,Secondary,below Average,Jewish - Secular,Female,Several times a month,Daily,Daily,Not Using,Daily,Not Using,Daily,281,1,1,1,0,1,0,1,58,3491,29,29,0,6
65+,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - National Religious,Female,Several times a week,Several times a week,Several times a week,Several times a week,Daily,Several times a month,Daily,282,1,1,1,1,1,1,1,66,4936,31,13,12,18
18-24,North,Single,Secondary,below Average,Jewish - National Religious,Male,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,283,1,1,0,0,0,0,1,24,3452,0,31,0,31
31-39,Center,Married,Academic,Above Average,Jewish - Traditional,Female,Daily,Less often,Not Using,Not Using,Not Using,Several times a week,Not Using,284,1,1,0,0,0,1,0,33,9524,0,2,0,31
50-64,Haifa,Married,Secondary,Similar to Average,Jewish - National Religious,Female,Several times a week,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,285,1,0,0,0,0,0,1,56,5165,0,0,0,16
50-64,North,Divorced/Separated/Widowed/Single Parent,Academic,Above Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Less often,Not Using,Daily,286,1,1,0,0,1,0,1,61,8182,1,29,0,29
50-64,Tel Aviv,Single,Academic,below Average,Jewish - Secular,Male,Several times a week,Several times a week,Several times a week,Not Using,Daily,Not Using,Daily,287,1,1,1,0,1,0,1,59,3469,31,27,0,25
25-30,South,Married,Academic,Similar to Average,Jewish - Secular,Male,Daily,Daily,Daily,Daily,Daily,Several times a month,Daily,288,1,1,1,1,1,1,1,25,5910,30,31,31,31
65+,Center,Divorced/Separated/Widowed/Single Parent,Academic,Way below Average,Jewish - Traditional,Female,Daily,Less often,Not Using,Not Using,Not Using,Not Using,Daily,289,1,1,0,0,0,0,1,68,2783,0,3,0,30
40-49,Center,Single,Academic,Similar to Average,Jewish - Secular,Female,Several times a week,Daily,Not Using,Daily,Daily,Not Using,Daily,290,1,1,0,1,1,0,1,40,5823,29,29,31,17
65+,Yehoda and Shomron,Divorced/Separated/Widowed/Single Parent,Academic,Way below Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,291,1,1,0,0,0,0,1,66,944,0,29,0,29
50-64,Jerusalem,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Several times a week,Daily,Less often,Not Using,Several times a month,Not Using,Daily,292,1,1,1,0,1,0,1,50,7002,10,29,0,27
40-49,South,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Secular,Male,Daily,Daily,Several times a month,Several times a month,Several times a week,Not Using,Daily,293,1,1,1,1,1,0,1,44,3007,24,29,10,30
40-49,Center,Married,Academic,Above Average,Jewish - Orthodox,Male,Several times a week,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,294,1,0,0,0,0,0,1,44,8330,0,0,0,19
25-30,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - National Religious,Male,Daily,Daily,Daily,Several times a week,Daily,Not Using,Daily,295,1,1,1,1,1,0,1,27,3775,30,29,17,29
50-64,Jerusalem,Divorced/Separated/Widowed/Single Parent,Secondary,Way below Average,Jewish - Orthodox,Female,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,296,1,0,0,0,0,0,1,56,2199,0,0,0,29
65+,Haifa,Married,Academic,Way Above Average,Jewish - Traditional,Male,Several times a month,Not Using,Not Using,Not Using,Not Using,Less often,Daily,297,1,0,0,0,0,1,1,73,15243,0,0,0,9
25-30,Center,Single,Secondary,Other Responses,otherwise or refuses to answer,Male,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,298,1,1,1,1,1,0,1,25,0,31,29,29,30
31-39,Haifa,Married,Academic,Above Average,Jewish - Secular,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,299,1,1,0,0,0,0,1,33,8915,0,30,0,16
65+,Center,Married,Academic,below Average,Jewish - Traditional,Female,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,300,1,1,1,1,1,0,1,67,4572,30,29,31,29
40-49,Haifa,Married,Academic,Above Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,301,1,1,0,0,1,0,1,42,9309,30,31,0,31
31-39,Jerusalem,Single,Academic,Above Average,Jewish - National Religious,Female,Daily,Daily,Not Using,Not Using,Less often,Less often,Daily,302,1,1,0,0,1,1,1,34,10748,2,30,0,29
50-64,Yehoda and Shomron,Married,Academic,below Average,Jewish - National Religious,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,303,1,1,0,0,0,0,1,57,3082,0,29,0,27
31-39,Center,Married,Secondary,Way below Average,Jewish - Orthodox,Female,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,304,1,0,0,0,0,0,1,36,514,0,0,0,31
40-49,Center,Divorced/Separated/Widowed/Single Parent,Secondary,Way below Average,Jewish - Traditional,Male,Daily,Daily,Several times a week,Not Using,Several times a week,Not Using,Daily,305,1,1,1,0,1,0,1,47,1921,23,31,0,29
40-49,Yehoda and Shomron,Married,Academic,Similar to Average,Jewish - National Religious,Male,Several times a week,Daily,Not Using,Several times a week,Not Using,Not Using,Daily,306,1,1,0,1,0,0,1,40,7863,0,30,11,11
40-49,Haifa,Married,Secondary,Similar to Average,Jewish - Traditional,Female,Several times a week,Daily,Several times a month,Not Using,Daily,Not Using,Daily,307,1,1,1,0,1,0,1,47,7757,29,31,0,27
65+,Center,Married,Academic,Above Average,Jewish - Secular,Female,Daily,Daily,Not Using,Less often,Less often,Not Using,Daily,308,1,1,0,1,1,0,1,68,9940,3,29,1,31
40-49,Center,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Traditional,Female,Daily,Daily,Daily,Not Using,Not Using,Not Using,Daily,309,1,1,1,0,0,0,1,40,4547,0,29,0,30
31-39,North,Divorced/Separated/Widowed/Single Parent,Academic,below Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,310,1,1,0,0,0,0,1,38,3746,0,29,0,31
40-49,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,311,1,1,0,0,1,0,1,43,1410,31,29,0,30
40-49,Center,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Secular,Female,Several times a month,Daily,Daily,Not Using,Several times a week,Not Using,Daily,312,1,1,1,0,1,0,1,45,3707,23,30,0,5
31-39,Center,Married,Academic,Similar to Average,Jewish - Traditional,Female,Several times a week,Daily,Not Using,Not Using,Several times a week,Not Using,Daily,313,1,1,0,0,1,0,1,38,5471,21,30,0,21
25-30,Haifa,Single,Secondary,Way below Average,Jewish - Secular,Male,Daily,Daily,Less often,Not Using,Several times a week,Not Using,Daily,314,1,1,1,0,1,0,1,28,396,11,31,0,31
40-49,North,Married,Academic,Above Average,Jewish - Secular,Male,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,315,1,1,1,1,1,0,1,42,9556,30,29,29,30
40-49,Haifa,Divorced/Separated/Widowed/Single Parent,Secondary,Similar to Average,Jewish - Traditional,Female,Several times a month,Daily,Not Using,Not Using,Not Using,Not Using,Daily,316,1,1,0,0,0,0,1,48,7309,0,31,0,6
31-39,North,Married,Secondary,Similar to Average,Jewish - Orthodox,Male,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,317,1,0,0,0,0,0,1,33,5805,0,0,0,29
31-39,North,Married,"Post-secondary (Technician, Engineer, etc.)",Above Average,Jewish - National Religious,Female,Daily,Daily,Daily,Not Using,Daily,Daily,Daily,318,1,1,1,0,1,1,1,39,8934,30,30,0,30
31-39,South,Married,Academic,below Average,Jewish - Orthodox,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,319,1,1,0,0,0,0,1,32,4280,0,29,0,30
65+,Center,Married,Secondary,Way below Average,Jewish - Traditional,Male,Several times a month,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,320,1,1,0,0,0,0,1,80,1758,0,27,0,9
50-64,North,Married,Academic,Other Responses,Jewish - National Religious,Male,Daily,Several times a month,Several times a month,Not Using,Not Using,Not Using,Not Using,321,1,1,1,0,0,0,0,63,0,0,6,0,31
31-39,South,Married,Academic,Other Responses,Jewish - Secular,Male,Several times a month,Daily,Several times a week,Not Using,Not Using,Several times a week,Daily,322,1,1,1,0,0,1,1,32,0,0,30,0,8
65+,North,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Traditional,Male,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,323,1,1,1,1,1,0,1,66,3905,31,30,30,31
50-64,Center,Married,Secondary,Above Average,Jewish - Secular,Female,Less often,Several times a month,Not Using,Not Using,Less often,Not Using,Daily,324,1,1,0,0,1,0,1,55,9077,1,10,0,1
65+,South,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - National Religious,Male,Several times a month,Several times a month,Not Using,Not Using,Not Using,Not Using,Daily,325,1,1,0,0,0,0,1,67,3940,0,6,0,7
31-39,North,Married,Secondary,below Average,Jewish - Orthodox,Male,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,326,1,0,0,0,0,0,1,39,4891,0,0,0,30
50-64,Jerusalem,Single,"Post-secondary (Technician, Engineer, etc.)",Above Average,Jewish - Orthodox,Male,Daily,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,327,1,1,0,0,0,0,1,53,9524,0,11,0,29
50-64,North,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Secular,Male,Several times a week,Daily,Several times a week,Not Using,Several times a week,Not Using,Several times a week,328,1,1,1,0,1,0,1,50,4530,25,30,0,11
18-24,Center,Single,Secondary,Above Average,Jewish - Secular,Male,Daily,Daily,Daily,Not Using,Daily,Not Using,Daily,329,1,1,1,0,1,0,1,21,10902,29,29,0,29
50-64,Center,Divorced/Separated/Widowed/Single Parent,Secondary,below Average,Jewish - Traditional,Female,Several times a month,Daily,Several times a week,Not Using,Not Using,Not Using,Not Using,330,1,1,1,0,0,0,0,50,4388,0,29,0,7
40-49,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Daily,Daily,Daily,Not Using,Not Using,Not Using,Daily,331,1,1,1,0,0,0,1,44,6304,0,30,0,29
25-30,Center,Single,Academic,Similar to Average,Jewish - National Religious,Female,Daily,Daily,Several times a week,Not Using,Daily,Not Using,Daily,332,1,1,1,0,1,0,1,28,5593,30,30,0,29
25-30,North,Married,Secondary,Way below Average,Jewish - Orthodox,Male,Several times a week,Several times a week,Less often,Less often,Less often,Not Using,Daily,333,1,1,1,1,1,0,1,27,2762,3,26,1,15
25-30,Center,Single,Academic,below Average,Jewish - Secular,Female,Several times a week,Daily,Not Using,Not Using,Daily,Not Using,Daily,334,1,1,0,0,1,0,1,25,4182,31,29,0,26
31-39,Center,Other,Academic,below Average,Jewish - Traditional,Female,Daily,Daily,Daily,Not Using,Daily,Not Using,Daily,335,1,1,1,0,1,0,1,31,3632,29,30,0,30
31-39,Tel Aviv,Married,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Daily,Daily,Daily,Daily,Less often,Daily,336,1,1,1,1,1,1,1,33,7107,31,30,29,29
40-49,Tel Aviv,Single,Academic,Similar to Average,Jewish - Secular,Male,Several times a month,Daily,Not Using,Not Using,Daily,Not Using,Daily,337,1,1,0,0,1,0,1,45,5128,29,30,0,10
50-64,North,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Daily,Daily,Several times a week,Several times a month,Several times a month,Less often,Daily,338,1,1,1,1,1,1,1,56,5736,5,31,9,31
50-64,Jerusalem,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Traditional,Female,Less often,Less often,Not Using,Not Using,Less often,Not Using,Daily,339,1,1,0,0,1,0,1,55,2769,1,1,0,3
50-64,Tel Aviv,Married,Secondary,Way below Average,Jewish - Secular,Male,Several times a week,Daily,Several times a month,Less often,Several times a month,Not Using,Daily,340,1,1,1,1,1,0,1,63,2574,5,31,3,22
65+,Haifa,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,341,1,1,0,0,1,0,1,78,521,29,30,0,31
50-64,South,Married,Academic,Above Average,Jewish - Traditional,Female,Several times a week,Several times a week,Several times a week,Less often,Several times a week,Less often,Daily,342,1,1,1,1,1,1,1,55,10600,13,22,1,21
31-39,Center,Married,Secondary,Way below Average,Jewish - Traditional,Male,Several times a week,Daily,Several times a week,Several times a month,Several times a week,Less often,Daily,343,1,1,1,1,1,1,1,36,237,22,31,7,20
31-39,South,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Daily,Not Using,Not Using,Daily,344,1,1,0,1,0,0,1,33,6305,0,30,29,29
18-24,North,Single,Secondary,below Average,Jewish - Traditional,Female,Several times a month,Daily,Daily,Not Using,Several times a month,Not Using,Daily,345,1,1,1,0,1,0,1,23,4383,10,31,0,8
50-64,Center,Married,Academic,Other Responses,Jewish - Traditional,Female,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,346,0,0,0,0,0,0,1,57,0,0,0,0,0
31-39,Center,Single,Academic,Similar to Average,Jewish - Secular,Female,Not Using,Daily,Not Using,Not Using,Daily,Several times a month,Daily,347,0,1,0,0,1,1,1,32,6782,30,30,0,0
31-39,Center,Divorced/Separated/Widowed/Single Parent,Academic,Other Responses,Jewish - National Religious,Female,Daily,Several times a month,Less often,Not Using,Less often,Not Using,Daily,348,1,1,1,0,1,0,1,35,0,3,7,0,31
50-64,South,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - National Religious,Female,Less often,Daily,Daily,Daily,Daily,Not Using,Daily,349,1,1,1,1,1,0,1,63,4302,31,31,29,4
18-24,Tel Aviv,Single,Secondary,Above Average,Jewish - Secular,Female,Daily,Several times a week,Several times a week,Not Using,Several times a week,Several times a week,Daily,350,1,1,1,0,1,1,1,18,10542,18,27,0,31
40-49,Tel Aviv,Married,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Daily,351,1,1,1,1,1,1,1,40,7052,24,17,27,30
50-64,North,Married,Academic,Above Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,352,1,1,0,0,0,0,1,54,10714,0,29,0,30
31-39,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Orthodox,Male,Several times a month,Several times a month,Not Using,Several times a week,Not Using,Not Using,Daily,353,1,1,0,1,0,0,1,33,5442,0,8,20,7
31-39,Haifa,Married,Secondary,Other Responses,Jewish - National Religious,Male,Daily,Daily,Not Using,Not Using,Less often,Not Using,Daily,354,1,1,0,0,1,0,1,34,0,2,30,0,29
31-39,Center,Married,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Daily,Not Using,Daily,Several times a month,Daily,355,1,1,1,0,1,1,1,33,7077,30,31,0,29
50-64,Jerusalem,Single,Secondary,Way below Average,Jewish - Secular,Female,Daily,Daily,Daily,Less often,Daily,Not Using,Daily,356,1,1,1,1,1,0,1,50,2658,30,30,2,31
31-39,Center,Married,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Several times a month,Daily,357,1,1,0,0,1,1,1,31,5805,30,30,0,30
25-30,Jerusalem,Single,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Daily,Several times a month,Daily,358,1,1,0,0,1,1,1,28,5075,29,31,0,31
40-49,Center,Married,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Daily,Daily,Daily,Daily,Daily,Daily,359,1,1,1,1,1,1,1,44,7886,31,29,30,31
31-39,North,Married,Secondary,Way below Average,Jewish - Traditional,Female,Several times a week,Daily,Less often,Not Using,Several times a week,Not Using,Daily,360,1,1,1,0,1,0,1,36,2176,18,31,0,28
25-30,Center,Single,Academic,Way below Average,Jewish - Secular,Female,Daily,Daily,Less often,Not Using,Daily,Not Using,Daily,361,1,1,1,0,1,0,1,27,2090,30,30,0,31
65+,Tel Aviv,Married,Secondary,Way below Average,Jewish - Secular,Female,Several times a week,Several times a week,Less often,Daily,Daily,Not Using,Not Using,362,1,1,1,1,1,0,0,76,1380,30,24,30,28
65+,Tel Aviv,Married,Secondary,Way below Average,Jewish - Secular,Male,Several times a week,Several times a week,Less often,Daily,Several times a week,Not Using,Not Using,363,1,1,1,1,1,0,0,73,41,22,19,30,26
40-49,Tel Aviv,Married,Academic,Way Above Average,Jewish - Secular,Male,Daily,Daily,Several times a week,Not Using,Not Using,Several times a month,Daily,364,1,1,1,0,0,1,1,44,18185,0,30,0,29
50-64,North,Divorced/Separated/Widowed/Single Parent,Secondary,below Average,Jewish - Traditional,Female,Daily,Not Using,Daily,Not Using,Not Using,Not Using,Daily,365,1,0,1,0,0,0,1,57,4701,0,0,0,29
65+,Center,Married,Academic,below Average,Jewish - Secular,Female,Less often,Less often,Not Using,Not Using,Not Using,Not Using,Daily,366,1,1,0,0,0,0,1,77,4177,0,4,0,4
40-49,South,Married,Academic,Similar to Average,Jewish - Orthodox,Female,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,367,1,0,0,0,0,0,1,40,6402,0,0,0,30
31-39,Jerusalem,Married,Elementary education,Similar to Average,Jewish - Orthodox,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,368,1,1,0,0,0,0,1,35,5588,0,30,0,29
31-39,Jerusalem,Married,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Several times a week,Less often,Daily,Not Using,Daily,369,1,1,1,1,1,0,1,33,6623,29,29,2,31
31-39,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Female,Daily,Several times a month,Not Using,Not Using,Several times a month,Not Using,Daily,370,1,1,0,0,1,0,1,31,5342,6,6,0,29
50-64,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Several times a month,Daily,Not Using,Not Using,Not Using,Not Using,Daily,371,1,1,0,0,0,0,1,53,7075,0,29,0,7
40-49,Center,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Traditional,Male,Daily,Daily,Less often,Not Using,Daily,Not Using,Daily,372,1,1,1,0,1,0,1,44,4849,29,30,0,29
50-64,Tel Aviv,Married,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Several times a week,Not Using,Daily,373,1,1,0,0,1,0,1,56,5646,25,31,0,30
50-64,Tel Aviv,Married,Academic,Similar to Average,Jewish - Secular,Male,Daily,Several times a month,Not Using,Not Using,Not Using,Not Using,Not Using,374,1,1,0,0,0,0,0,50,5731,0,8,0,29
25-30,South,Single,Secondary,Way below Average,Jewish - Secular,Female,Several times a month,Daily,Several times a month,Not Using,Daily,Not Using,Daily,375,1,1,1,0,1,0,1,27,168,31,29,0,9
50-64,Tel Aviv,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - National Religious,Male,Daily,Daily,Several times a week,Several times a week,Daily,Not Using,Daily,376,1,1,1,1,1,0,1,51,5610,31,30,24,29
25-30,Center,Single,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,377,1,1,0,0,1,0,1,25,0,31,31,0,30
31-39,Center,Divorced/Separated/Widowed/Single Parent,Academic,Similar to Average,Jewish - Secular,Female,Less often,Several times a month,Not Using,Not Using,Several times a month,Several times a week,Daily,378,1,1,0,0,1,1,1,36,7316,10,10,0,1
50-64,North,Married,Academic,Similar to Average,Jewish - Secular,Female,Several times a week,Daily,Daily,Not Using,Several times a week,Not Using,Daily,379,1,1,1,0,1,0,1,59,6773,24,31,0,11
50-64,Center,Divorced/Separated/Widowed/Single Parent,Secondary,Way below Average,Jewish - Secular,Female,Less often,Daily,Several times a week,Not Using,Not Using,Not Using,Daily,380,1,1,1,0,0,0,1,52,2041,0,31,0,2
